;Total time;Add time;Contains Time;Insertions;Constructed tops;Comparisons
tests/testfile

class semisplay.Splay
;128;95;33;10000;10000;999759

class semisplay.SemiSplay
;50;30;20;10000;10000;864807

class semisplay.Full
;387;243;144;10000;10000;1847356

